tranche,file,sha256,bytes,pages,source,origin,level,result,code,ms,out_bytes,verified
pdfjs,ZapfDingbats.pdf,f0d3d15d1dd611a8ca6904389db4fa111ff53c506cb75177743a27fb5c4273fe,17602,2,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/ZapfDingbats.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/ZapfDingbats.pdf,2b,converted,,96,1115612,
pdfjs,acroform_calculation_order.pdf,9081aad78cb6bb1871eb5c51addbe75ce73e4617a3e1fa15aa3da21232b6b755,1041,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/acroform_calculation_order.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/acroform_calculation_order.pdf,2b,converted,,14,134618,
pdfjs,alphatrans.pdf,234c0ab8e9458f4d17133b08d2b66170eeb92be2a80e1508aa5117a2bf568f63,16910,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/alphatrans.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/alphatrans.pdf,2b,converted,,17,145120,
pdfjs,annotation-border-styles.pdf,ba3a3c67030f9be2ad2c1989b78ec302501f71cecb4e5ebf193f6ce9ca51ff56,89833,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-border-styles.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-border-styles.pdf,2b,converted,,17,95815,
pdfjs,annotation-button-widget.pdf,f7b1c9c7b2ecb909f6b168cc1b137230076533f977a205472b212b7f0d3a78d7,23785,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-button-widget.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-button-widget.pdf,2b,converted,,13,19699,
pdfjs,annotation-caret-ink.pdf,afdc6fb72e8dcb8f0796a48388fc011e9db212e18d1d7b8cf95b327e88cf6ce9,93680,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-caret-ink.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-caret-ink.pdf,2b,converted,,22,106383,
pdfjs,annotation-choice-widget.pdf,2fcab2aed82afe9775359c1d166fb7aae77e99d25fe03be177e233d02d572538,91556,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-choice-widget.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-choice-widget.pdf,2b,converted,,15,81617,
pdfjs,annotation-fileattachment.pdf,b2f3751cd63e2402d95673f763e52fb105e6ce8e0b41406ca6d9965f5c894d43,93322,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-fileattachment.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-fileattachment.pdf,2b,converted,,18,101858,
pdfjs,annotation-freetext.pdf,318ed4bead93fa6ff023571b17ddca41e82fe2347b497ea24903a11e1892fb71,86024,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-freetext.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-freetext.pdf,2b,converted,,28,220794,pass
pdfjs,annotation-highlight-without-appearance.pdf,ea323f17899de03e7499d0e8531c49e873512a26b40058f357ca399312bf65d6,16302,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-highlight-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-highlight-without-appearance.pdf,2b,converted,,14,25630,
pdfjs,annotation-highlight.pdf,72b6387356ccfdfb95a0a5eff5e1ceb9b7667019807d7b04abaf64dad7ea143a,92397,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-highlight.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-highlight.pdf,2b,converted,,22,105016,
pdfjs,annotation-ink-without-appearance.pdf,663c7419206b1995c6ae651a1cbf8dbf9d89f0f6b3e61014cf545e21335e75b8,6288,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-ink-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-ink-without-appearance.pdf,2b,converted,,24,143581,
pdfjs,annotation-line-without-appearance-empty-Rect.pdf,920062508a60278f9dabb25992538b45ccf13deda97687365b81cf775d034bd5,969,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-line-without-appearance-empty-Rect.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-line-without-appearance-empty-Rect.pdf,2b,converted,,19,142101,
pdfjs,annotation-line-without-appearance.pdf,9408cc19a56ef122ea956799a2e5a63b2b3cc70bbd307ed76d2ba89fd9c54fc3,14170,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-line-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-line-without-appearance.pdf,2b,converted,,14,24718,
pdfjs,annotation-line.pdf,cea9ed8cf5726fa643da0c083bc8db8df790ab5e7ee9a2b62224aab73d9fa742,84943,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-line.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-line.pdf,2b,converted,,22,97595,
pdfjs,annotation-link-text-popup.pdf,06917202feda6b6bb8b57b048655f946f749bdff5a8bfcb35eb0116f38910312,98997,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-link-text-popup.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-link-text-popup.pdf,2b,converted,,21,105100,
pdfjs,annotation-polyline-polygon-without-appearance.pdf,710e7dbac4fcd2021e5a9cf7072e00284a1882d1ebacac43430b15c027902932,91426,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-polyline-polygon-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-polyline-polygon-without-appearance.pdf,2b,converted,,18,101025,
pdfjs,annotation-polyline-polygon.pdf,66303646dd550366994f6715678863536617093335825dda3c123616555b69e2,88691,1,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-polyline-polygon.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-polyline-polygon.pdf,2b,converted,,22,101443,
