tranche,file,sha256,bytes,source,origin
pdfjs,annotation-highlight-without-appearance.pdf,ea323f17899de03e7499d0e8531c49e873512a26b40058f357ca399312bf65d6,16302,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-highlight-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-highlight-without-appearance.pdf
pdfjs,annotation-highlight.pdf,72b6387356ccfdfb95a0a5eff5e1ceb9b7667019807d7b04abaf64dad7ea143a,92397,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-highlight.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-highlight.pdf
pdfjs,annotation-ink-without-appearance.pdf,663c7419206b1995c6ae651a1cbf8dbf9d89f0f6b3e61014cf545e21335e75b8,6288,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-ink-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-ink-without-appearance.pdf
pdfjs,annotation-line-without-appearance-empty-Rect.pdf,920062508a60278f9dabb25992538b45ccf13deda97687365b81cf775d034bd5,969,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-line-without-appearance-empty-Rect.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-line-without-appearance-empty-Rect.pdf
pdfjs,annotation-line-without-appearance.pdf,9408cc19a56ef122ea956799a2e5a63b2b3cc70bbd307ed76d2ba89fd9c54fc3,14170,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-line-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-line-without-appearance.pdf
pdfjs,annotation-line.pdf,cea9ed8cf5726fa643da0c083bc8db8df790ab5e7ee9a2b62224aab73d9fa742,84943,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-line.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-line.pdf
pdfjs,annotation-link-text-popup.pdf,06917202feda6b6bb8b57b048655f946f749bdff5a8bfcb35eb0116f38910312,98997,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-link-text-popup.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-link-text-popup.pdf
pdfjs,annotation-polyline-polygon-without-appearance.pdf,710e7dbac4fcd2021e5a9cf7072e00284a1882d1ebacac43430b15c027902932,91426,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-polyline-polygon-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-polyline-polygon-without-appearance.pdf
pdfjs,annotation-polyline-polygon.pdf,66303646dd550366994f6715678863536617093335825dda3c123616555b69e2,88691,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-polyline-polygon.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-polyline-polygon.pdf
pdfjs,annotation-square-circle-without-appearance.pdf,d0a98bb14150b1bc2bc028876198098c99420ea10d30d43b4f9c5cb36bb023a7,16007,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-square-circle-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-square-circle-without-appearance.pdf
pdfjs,annotation-square-circle.pdf,88ed9ed813c3585b3098b9f4eef5107426f7829044117cd87f77bdc38a8e3f72,88740,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-square-circle.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-square-circle.pdf
pdfjs,annotation-squiggly-without-appearance.pdf,771698679397da9423bcb26e641c8cba173f00dc54f60656898143403e2bfbdd,15589,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-squiggly-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-squiggly-without-appearance.pdf
pdfjs,annotation-squiggly.pdf,95a2af9d01c2e532711a1483d58a258e469f3ff0e7dd1c2ae45c70bd8f9bb6e8,93644,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-squiggly.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-squiggly.pdf
pdfjs,annotation-stamp.pdf,76d566c092c23ccbec4bb488c40dc6daec8a381cb5386452b186728652436704,88903,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-stamp.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-stamp.pdf
pdfjs,annotation-strikeout-without-appearance.pdf,9a99e1469ad4e285381016df440fada4d94b9384d051760b145fd63b794943a8,15753,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-strikeout-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-strikeout-without-appearance.pdf
pdfjs,annotation-strikeout.pdf,ca7225dbdc6f8a26814cf0d67f5c509589e2cc09ace6bdb04a375a266db5b708,91804,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-strikeout.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-strikeout.pdf
pdfjs,annotation-text-widget.pdf,9f091ceb368ad0406094efaa6c50d5033735ee52f383e0973dc53a7467089d7c,93171,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-text-widget.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-text-widget.pdf
pdfjs,annotation-text-without-popup.pdf,2e0c788c795ab08178c12d26f73bebb6e18455a885568005770e8b6b947c4ceb,24281,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-text-without-popup.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-text-without-popup.pdf
pdfjs,annotation-tx.pdf,c7be52654eaede8a9f33757168957f938f56e73fcd4c53539db5672dee426208,11672,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-tx.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-tx.pdf
pdfjs,annotation-tx2.pdf,9612df43f8c48b574ddc7a81c0781b864235f7ff328dc9b9e646b924a8706650,21285,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-tx2.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-tx2.pdf
pdfjs,annotation-tx3.pdf,15e3ac008cc848e593474aa312a9ef1fbecad1f69b4580361ffd2d334575bb91,31642,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-tx3.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-tx3.pdf
pdfjs,annotation-underline-without-appearance.pdf,3a88f23b262ff72e613aecbdd75c2aa76bde7a5e84eef1acac04d355397876b6,15304,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-underline-without-appearance.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-underline-without-appearance.pdf
pdfjs,annotation-underline.pdf,ef04b7049d5cab49c702887c423f20cfecf76d36905772209cc6781425d8f671,92151,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-underline.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation-underline.pdf
pdfjs,annotation_hidden_noview.pdf,97fd9418a5e24d326e66734462de0db215d40a6dd0e0734e12924fa364e5b390,12114,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation_hidden_noview.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation_hidden_noview.pdf
pdfjs,annotation_hidden_print.pdf,d084450dfbb7d5c53593ed8f0a005553bd0ae797e34b3a1c8c00c7eec2fc5a9d,6539,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation_hidden_print.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/annotation_hidden_print.pdf
pdfjs,arial_unicode_ab_cidfont.pdf,049a4330710d8470896061acf7ee486735e94cef2769f6cc13fec3cb13bb65aa,13110,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/arial_unicode_ab_cidfont.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/arial_unicode_ab_cidfont.pdf
pdfjs,arial_unicode_en_cidfont.pdf,1c4a08108d8074f543c04e9b2ea2b93a842e2b29eb05ee9d99766f430fd365ab,15779,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/arial_unicode_en_cidfont.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/arial_unicode_en_cidfont.pdf
pdfjs,asciihexdecode.pdf,17cc92aa58ec48f75b01c6b6e7f8c8bade0a36f7295d0f833a16bafae854dc79,743,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/asciihexdecode.pdf,https://raw.githubusercontent.com/mozilla/pdf.js/master/test/pdfs/asciihexdecode.pdf
